address,school_name,school_type,school_year
"616 67th Street Circle East, Bradenton, FL 34208",Florida College of Natural Health,Private for-profit,2-year
"7925 NW 12th St Ste 201, Miami, FL 33126",Florida College of Natural Health,Private for-profit,2-year
"1299b N.W. 40th Avenue, Lauderhill, FL 33313",Florida Education Center,Private for-profit,< 2-year
"5818 SW 8th St, Miami, FL 33144",Florida Education Institute,Private for-profit,< 2-year
"Highway 90 East, Lake City, FL 32025",Florida Gateway College,Public,2-year
"10501 Fgcu Blvd S, Fort Myers, FL 33965",Florida Gulf Coast University,Public,4-year
"671 Winyah Drive, Orlando, FL 32803",Florida Hospital College of Health Sciences,Private not-for-profit,4-year
"3776 Howell Branch Road, Winter Park, FL 32792",Florida Institute of Animal Arts,Private for-profit,< 2-year
"150 West University Boulevard, Melbourne, FL 32901",Florida Institute of Technology,Private not-for-profit,4-year
"8800 University Pky Ste 4a, Pensacola, FL 32514",Florida Institute of Ultrasound Inc,Private for-profit,2-year
"11200 S. W. 8 Street, Miami, FL 33199",Florida International University,Public,4-year
,Florida International University College of Law,,
"5901 College Rd, Key West, FL 33040",Florida Keys Community College,Public,2-year
"15800 NW 42 Ave, Miami Gardens, FL 33054",Florida Memorial University,Private not-for-profit,4-year
"8226 Phillips Hwy, Jacksonville, FL 32256",Florida Metropolitan University-Jacksonville,Private for-profit,4-year
"995 E Memorial Blvd Suite110, Lakeland, FL 33801",Florida Metropolitan University-Lakeland,Private for-profit,4-year
"5421 Diplomat Circle, Orlando, FL 32810",Florida Metropolitan University-North Orlando,Private for-profit,4-year
"805 Wells Rd, Orange Park, FL 32073",Florida Metropolitan University-Orange Park,Private for-profit,4-year
"2471 McMullen Booth Rd, Clearwater, FL 33759",Florida Metropolitan University-Pinellas,Private for-profit,4-year
"9200 Soutpark Center Loop, Orlando, FL 32819",Florida Metropolitan University-South Orlando,Private for-profit,4-year
"4425 West 20 Avenue, Hialeah, FL 33012",Florida National College,Private for-profit,4-year
"4206 West 12 Ave, Hialeah, FL 33012",Florida National College Training Center,Private for-profit,< 2-year
"11865 SW 26 St, Miami, FL 33175",Florida National College-South Campus,Private for-profit,4-year
"111 Lk Hollingsworth Dr, Lakeland, FL 33801",Florida Southern College,Private not-for-profit,4-year
"501 W State St, Jacksonville, FL 32202",Florida State College at Jacksonville,Public,4-year
"211 Westcott Bldg, Tallahassee, FL 32306",Florida State University,Public,4-year
,Florida State University College Of Business,,
,Florida State University College of Medicine,,
"12689 Challenger Parkway Suite 130, Orlando, FL 32826",Florida Technical College,Private for-profit,2-year
"8711 Lone Star Rd, Jacksonville, FL 32211",Florida Technical College of Jacksonville Inc,Private for-profit,2-year
"1200 Oakman Blvd, Detroit, MI 48238",Focus Hope Machinist Training Institute,Private not-for-profit,< 2-year
"10 College Parkway, Folsom, CA 95630",Folsom Lake College,Public,2-year
"2101 14th St, Cloquet, MN 55720",Fond du Lac Tribal and Community College,Public,2-year
"6800 Wydown Blvd, Saint Louis, MO 63105",Fontbonne University,Private not-for-profit,4-year
"12345 El Monte Rd, Los Altos Hills, CA 94022",Foothill College,Public,2-year
,Fordham Graduate School of Business Administration,,
"441 E Fordham Rd, Bronx, NY 10458",Fordham University,Private not-for-profit,4-year
,Fordham University School of Law,,
"2885 W Battlefield Rd, Springfield, MO 65807",Forest Institute of Professional Psychology,Private not-for-profit,4-year
"601 E River Street, Anderson, SC 29624",Forrest Junior College,Private for-profit,2-year
"2100 Silas Creek Pky, Winston Salem, NC 27103",Forsyth Technical Community College,Public,2-year
"Hwys 2 & 66, Harlem, MT 59526",Fort Belknap College,Public,2-year
"220 8th Ave. N, New Town, ND 58763",Fort Berthold Community College,Public,2-year
"600 Park St, Hays, KS 67601",Fort Hays State University,Public,4-year
"1000 Rim Drive, Durango, CO 81301",Fort Lewis College,Public,4-year
"605 Indian Street, Poplar, MT 59255",Fort Peck Community College,Public,2-year
"3028 S US 1, Fort Pierce, FL 34982",Fort Pierce Beauty Academy,Private for-profit,< 2-year
"2108 S Horton, Fort Scott, KS 66701",Fort Scott Community College,Public,2-year
"1005 State University Dr, Fort Valley, GA 31030",Fort Valley State University,Public,4-year
"6785 Camp Bowie Blvd. Suite 100, Fort Worth, TX 76116",Fort Worth Beauty School,Private for-profit,< 2-year
"1813 Hwy 15 N, Ripley, MS 38663",Fosters Cosmetology College,Private for-profit,2-year
,Founders College,,
"3203 Tazewell Pke, Knoxville, TN 37918",Fountainhead College of Technology,Private for-profit,4-year
"1978 Image Drive, Washington, MO 63090",Four Rivers Career Center,Public,< 2-year
,Four Seasons Salon & Day Spa,Private for-profit,2-year
"1020 East Washington Street, Colton, CA 92324",Four-D College,Private for-profit,< 2-year
"4201 W 93rd St, Oak Lawn, IL 60453",Fox College Inc,Private for-profit,2-year
"99 South Street, West Hartford, CT 06110",Fox Institute of Business,Private for-profit,2-year
"346 LEXINGTON AVE, CLIFTON, NJ 07011",Fox Institute of Business-Clifton,Private for-profit,2-year
"1825 N Bluemound Dr, Appleton, WI 54912",Fox Valley Technical College,Public,2-year
"100 State Sreet, Framingham, MA 01701",Framingham State University,Public,4-year
"521 W 600 N, Layton, UT 84041",Fran Brown College of Beauty,Private for-profit,2-year
"4822 East Palmetto Street, Florence, SC 29506",Francis Marion University,Public,4-year
"12777 N Rockwell Ave, Oklahoma City, OK 73142",Francis Tuttle Technology Center,Public,2-year
"1712 Euclid Ave, Berkeley, CA 94709",Franciscan School of Theology,Private not-for-profit,4-year
"1235 University Blvd, Steubenville, OH 43952",Franciscan University of Steubenville,Private not-for-profit,4-year
,Frank G. Zarb School of Business,,
"1301 W. Roosevelt St., Borger, TX 79008",Frank Phillips College,Public,2-year
"4918 Penn Street, Philadelphia, PA 19124",Frankford Hospital School of Nursing,Private not-for-profit,2-year
"633 Mimosa Drive\nNW, Cleveland, TN 37312",Franklin Academy,Private not-for-profit,< 2-year
"College Ave, Lancaster, PA 17604",Franklin and Marshall College,Private not-for-profit,4-year
"4965 Martin Luther King Jr Blvd, Houston, TX 77021",Franklin Beauty School,Private for-profit,< 2-year
"91 N Franklin St, Hempstead, NY 11550",Franklin Career Institute,Private not-for-profit,< 2-year
"101 Branigin Blvd, Franklin, IN 46131",Franklin College,Private not-for-profit,4-year
"1015 Philadelphia Avenue, Chambersburg, PA 17201",Franklin County Career and Technology Center,Public,< 2-year
"2 White St, Concord, NH 03301",Franklin Pierce Law Center,Private not-for-profit,4-year
"40 University Drive, Rindge, NH 03461",Franklin Pierce University,Private not-for-profit,4-year
"3950 E. Newman Road, Joplin, MO 64801",Franklin Technology-MSSU,Public,< 2-year
"201 S Grant Ave, Columbus, OH 43215",Franklin University,Private not-for-profit,4-year
"Olin Way, Needham, MA 02492",Franklin W. Olin College of Engineering,Private not-for-profit,4-year
"Rte 5 Box 2, Buckhannon, WV 26201",Fred W Eberle Technical Center,Public,< 2-year
"7932 Opossumtown Pike, Frederick, MD 21702",Frederick Community College,Public,2-year
"831 F St, Eureka, CA 95501",Fredrick and Charles Beauty College,Private for-profit,< 2-year
"3606 West End Ave, Nashville, TN 37205",Free Will Baptist Bible College,Private not-for-profit,4-year
"158 E Main St, Henderson, TN 38340",Freed-Hardeman University,Private not-for-profit,4-year
"18000 Studebaker Road Suite 900A, Cerritos, CA 90703",Fremont College,Private for-profit,4-year
"462 Broadway, New York, NY 10013",French Culinary Institute,Private for-profit,< 2-year
"1101 E. University Ave, Fresno, CA 93741",Fresno City College,Public,2-year
"1717 S Chestnut Ave, Fresno, CA 93702",Fresno Pacific University,Private not-for-profit,4-year
"2100 W. University Ave., Wichita, KS 67213",Friends University,Private not-for-profit,4-year
"3645 W 112th Ave, Westminster, CO 80031",Front Range Community College,Public,2-year
"195 School Street, Hyden, KY 41749",Frontier School of Midwifery and Family Nursing,Private not-for-profit,4-year
"101 Braddock Road, Frostburg, MD 21532",Frostburg State University,Public,4-year
"3300 University Blvd, Winter Park, FL 32792",Full Sail Real World Education,Private for-profit,4-year
"1909 Broadway, Scottsbluff, NE 69361",Fullen School of Hair Design,Private for-profit,2-year
"135 N Oakland Ave, Pasadena, CA 91182",Fuller Theological Seminary in California,Private not-for-profit,4-year
"321 E Chapman Avenue, Fullerton, CA 92832",Fullerton College,Public,2-year
"2805 State Hwy 67, Johnstown, NY 12095",Fulton-Montgomery Community College,Public,2-year
"3300 Poinsett Highway, Greenville, SC 29613",Furman University,Private not-for-profit,4-year
"3225 Rainbow Drive Suite 246, Rainbow City, AL 35906",Gadsden Business College,Private for-profit,< 2-year
"1001 George Wallace Dr, Gadsden, AL 35902",Gadsden State Community College,Public,2-year
"1805 Hillyer Robinson Pkwy Ste-B, Anniston, AL 36207",Gadsen Business College-Anniston,Private for-profit,< 2-year
"3820 Mundy Mill Rd, Oakwood, GA 30566",Gainesville State College,Public,4-year
,Gaither and Company Beauty College,,
"1325 N Wishon Ave, Fresno, CA 93728",Galen College of Medical and Dental Assistants,Private for-profit,< 2-year
"1604 Ford Ave, Modesto, CA 95350",Galen College of Medical and Dental Assistants,Private for-profit,< 2-year
"1031 Zorn Avenue \nSuite 400, Louisville, KY 40207",Galen Health Institutes,Private for-profit,2-year
"4440 Piedras Drive South\nSuite 200, San Antonio, TX 78228",Galen Health Institute-San Antonio,Private for-profit,2-year
"9549 Koger Blvd Ste 100, Saint Petersburg, FL 33702",Galen Health Institute-Tampa Bay,Private for-profit,2-year
"1140 E Altamonte Dr Ste 1020, Altamonte, FL 32701",Galiano Career Academy,Private for-profit,< 2-year
"800 Florida Ave\nNE, Washington, DC 20002",Gallaudet University,Private not-for-profit,4-year
"351 Buckeye Hills Road, Rio Grande, OH 45674",Gallia Jackson Vinton Joint Vocational School District,Public,< 2-year
"1176 Jackson Pke\nSuite 312, Gallipolis, OH 45631",Gallipolis Career College,Private for-profit,2-year
"4015 Ave Q, Galveston, TX 77550",Galveston College,Public,2-year
"109 W Sixth St, Erie, PA 16541",Gannon University,Private not-for-profit,4-year
"801 Campus Dr, Garden City, KS 67846",Garden City Community College,Public,2-year
"Main St, Boiling Springs, NC 28017",Gardner-Webb University,Private not-for-profit,4-year
"422 Dickinson St, Charleston, WV 25301",Garnet Career Center,Public,< 2-year
"687 Mosser Rd, McHenry, MD 21541",Garrett College,Public,2-year
"2121 Sheridan Road, Evanston, IL 60201",Garrett-Evangelical Theological Seminary,Private not-for-profit,4-year
"201 Hwy 321 S, Dallas, NC 28034",Gaston College,Public,2-year
"1025 Amsterdam Rd, Covington, KY 41011",Gateway Community and Technical College,Public,2-year
"108 N. 40th Street, Phoenix, AZ 85034",GateWay Community College,Public,2-year
"60 Sargent Dr, New Haven, CT 06511",Gateway Community College,Public,2-year
"3520 30th Ave, Kenosha, WI 53144",Gateway Technical College,Public,2-year
,Gatton College of Business and Economics,,
"5055 Santa Teresa Blvd, Gilroy, CA 95020",Gavilan College,Public,2-year
"1006 W 10th St, Erie, PA 16502",GECAC Training Institute,Private not-for-profit,< 2-year
"700 State St, Quincy, IL 62301",Gem City College,Private for-profit,< 2-year
"5345 Armada Dr, Carlsbad, CA 92008",Gemological Institute of America,Private not-for-profit,< 2-year
"600 Corporate Pointe\nSuite 100, Culver City, CA 90230",Gemological Institute of America-Los Angeles,Private not-for-profit,< 2-year
"270 Madison Avenue 2nd Floor, New York, NY 10016",Gemological Institute of America-New York,Private not-for-profit,< 2-year
"10715 8th Ave NE, Seattle, WA 98125",Gene Juarez Academy of Beauty,Private for-profit,< 2-year
"2222 So. 314 St, Federal Way, WA 98003",Gene Juarez Academy of Beauty-Branch Campus,Private for-profit,< 2-year
"One College Rd, Batavia, NY 14020",Genesee Community College,Public,2-year
"Adult Education Office 8250 State St Rd, Batavia, NY 14020",Genesee Valley BOCES-Practical Nursing Program,Public,< 2-year
"3200 College Ave, Beaver Falls, PA 15010",Geneva College,Private not-for-profit,4-year
"1141 Wallace Drive, Dothan, AL 36303",George C Wallace Community College-Dothan,Public,2-year
"801 Main St NW, Hanceville, AL 35077",George C Wallace State Community College-Hanceville,Public,2-year
"3000 Earl Goodwin Parkway, Selma, AL 36703",George C Wallace State Community College-Selma,Public,2-year
"414 N Meridian St, Newberg, OR 97132",George Fox University,Private not-for-profit,4-year
"4400 University Dr, Fairfax, VA 22030",George Mason University,Public,4-year
,George Mason University School of Law,,
"2400 Longleaf Dr, Pensacola, FL 32526",George Stone Career Center,Public,< 2-year
"3275 NW 42nd Ave, Miami, FL 33142",George T Baker Aviation School,Public,2-year
"2121 I Street\nNW, Washington, DC 20052",George Washington University,Private not-for-profit,4-year
"400 East College Street, Georgetown, KY 40324",Georgetown College,Private not-for-profit,4-year
"37th and O St NW, Washington, DC 20057",Georgetown University,Private not-for-profit,4-year
,Georgetown University Law Center,,
,Georgetown University School of Medicine,,
"1820 Hwy 20 Ste 200, Conyers, GA 30013",Georgia Career Institute,Private for-profit,< 2-year
"Georgia College and State University\n231 W Hancock St, Milledgeville, GA 31061",Georgia College & State University,Public,4-year
"3175 Cedartown Highway\nS.E., Rome, GA 30161",Georgia Highlands College,Public,2-year
"3529 Atlanta Hwy, Athens, GA 30606",Georgia Institute of Cosmetology,Private for-profit,< 2-year
"225 North Ave, Atlanta, GA 30332",Georgia Institute of Technology,Public,4-year
"6280 Bryant Street, Union City, GA 30330",Georgia Military College-Atlanta Campus,Public,2-year
"115 Davis Road, Fort Gordon, GA 30907",Georgia Military College-Augusta Campus,Public,2-year
"2601 Cross Country Dr Bldg B, Columbus, GA 31906",Georgia Military College-Columbus Campus,Public,2-year
"201 E Greene St, Milledgeville, GA 31061",Georgia Military College-Milledgeville Campus,Public,2-year
"2113 Bemiss Rd, Moody Air Force Base, GA 31699",Georgia Military College-Valdosta Campus,Public,2-year
"801 Duke Ave, Warner Robins, GA 31093",Georgia Military College-Warner Robins Campus,Public,2-year
"3251 Panthersville Rd, Decatur, GA 30034",Georgia Perimeter College,Public,2-year
"Hwy 301 S, Statesboro, GA 30460",Georgia Southern University,Public,4-year
"800 Georgia Southwestern State University Dr., Americus, GA 31709",Georgia Southwestern State University,Public,4-year
"33 gilmer st, Atlanta, GA 30302",Georgia State University,Public,4-year
,Georgia State University College of Law,,
,Georgia Tech College of Management,,
"900 Lakewood Ave, Lakewood, NJ 08701",Georgian Court University,Private not-for-profit,4-year
"33 Shiawassee Ave, Fairlawn, OH 44333",Gerbers Akron Beauty School,Private for-profit,< 2-year
"2130 Germanna Hwy, Locust Grove, VA 22508",Germanna Community College,Public,2-year
"300 N Washington St, Gettysburg, PA 17325",Gettysburg College,Private not-for-profit,4-year
,GGC,,
"10 Norden Place, Norwalk, CT 06855",Gibbs College,Private for-profit,2-year
"1980 Gallows Rd, Vienna, VA 22182",Gibbs College,Private for-profit,4-year
"630 West Mt. Pleasant Avenue Route 10, Livingston, NJ 07039",Gibbs College,Private for-profit,2-year
"85 Garfield Ave, Cranston, RI 02920",Gibbs College,Private for-profit,< 2-year
"126 Newbury Street, Boston, MA 02116",Gibbs College-Boston,Private for-profit,2-year
"120 E Main St, West Point, MS 39773",Gibson Barber and Beauty College,Private for-profit,< 2-year
"230 S. McCarthy Rd, Appleton, WI 54914",Gill Tech Academy of Hair Design,Private for-profit,2-year
,Gladys A. Kelce College of Business,,
"W 309 Riverside Ave, Spokane, WA 99201",Glen Dow Academy of Hair Design,Private for-profit,2-year
"62249 Shimmel Rd, Centreville, MI 49032",Glen Oaks Community College,Public,2-year
"1015 Grandview Ave, Glendale, CA 91201",Glendale Career College,Private for-profit,< 2-year
"2204 El Camino Real Rd\nSuite #200, Oceanside, CA 92054",Glendale Career College-Oceanside,Private for-profit,< 2-year
"1500 N Verdugo Rd, Glendale, CA 91208",Glendale Community College,Public,2-year
"6000 W Olive Ave, Glendale, AZ 85302",Glendale Community College,Public,2-year
"200 High Street, Glenville, WV 26351",Glenville State College,Public,4-year
"51241 Hwy 6 and 24 Ste 1, Glenwood Springs, CO 81601",Glenwood Beauty Academy,Private for-profit,2-year
,Global,,
"1931 Mott Ave, Far Rockaway, NY 11691",Global Business Institute,Private not-for-profit,2-year
"209 W 125th St, New York, NY 10027",Global Business Institute,Private not-for-profit,2-year
"291 Broadway, New York, NY 10007",Globe Institute of Technology,Private for-profit,4-year
"8089 Globe Drive, Woodbury, MN 55125",Globe University,Private for-profit,4-year
"Marginal 114 Monte Carlo, Vega Baja, PR 00693",Globelle Technical Institute,Private for-profit,< 2-year
"1400 Tanyard Road, Sewell, NJ 08080",Gloucester County College,Public,2-year
"1015 N Cahuenga Blvd Ste 54301, Hollywood, CA 90038",Gnomon School of Visual Effects,Private for-profit,2-year
"123 Pitkin Road, Plainfield, VT 05667",Goddard College,Private not-for-profit,4-year
"1810 Young Street, Cincinnati, OH 45202",Gods Bible School and College,Private not-for-profit,4-year
"E 4946 Jackson Rd, Ironwood, MI 49938",Gogebic Community College,Public,2-year
,Goizueta Business School,,
"725 S. Figueroa Street\nSuite 1550, Los Angeles, CA 90017",Golden Gate University-Los Angeles,Private not-for-profit,4-year
"500 8th Street, Marina, CA 93933",Golden Gate University-Monterey,Private not-for-profit,4-year
"7 Sierra Gate Plaza\nSuite 101, Roseville, CA 95678",Golden Gate University-Roseville,Private not-for-profit,4-year
"536 Mission Street, San Francisco, CA 94105",Golden Gate University-San Francisco,Private not-for-profit,4-year
"50 Airport Parkway\nSuite 150, San Jose, CA 95110",Golden Gate University-San Jose,Private not-for-profit,4-year
"1425 4th Avenue\nSuite 404, Seattle, WA 98101",Golden Gate University-Seattle,Private not-for-profit,4-year
"ne Ygnacio Center\n2nd Floor Annex\nSuite 20\n1990 N. California Blvd., Walnut Creek, CA 94596",Golden Gate University-Walnut Creek,Private not-for-profit,4-year
"15744 Golden West, Huntington Beach, CA 92647",Golden West College,Public,2-year
"4701 Limestone Rd, Wilmington, DE 19808",Goldey-Beacom College,Private not-for-profit,4-year
"670 N. Arizona Ave.\nSte. 13, Chandler, AZ 85225",Golf Academy of Arizona,Private for-profit,2-year
"46-001 Kamehameha Highway, Kaneohe-Oahu, HI 96744",Golf Academy of Hawaii,Private for-profit,2-year
"3268 Waccamaw Blvd, Myrtle Beach, SC 29579",Golf Academy of the Carolinas,Private for-profit,2-year
"1200 E. Altamonte Drive\nSuite 1010, Altamonte Springs, FL 32701",Golf Academy of the South,Private for-profit,2-year
"E 502 Boone Ave, Spokane, WA 99258",Gonzaga University,Private not-for-profit,4-year
,Gonzaga University School of Law,,
,Good Samaritan College of Nursing & Health Science,Private not-for-profit,2-year
"520 S 7th St, Vincennes, IN 47591",Good Samaritan Hospital School of Radiologic Technology,Public,2-year
"615 N Bonita Ave, Panama City, FL 32401",Gooding Institute of Nurse Anesthesia,Public,4-year
"745 Burnside Ave, East Hartford, CT 06108",Goodwin College,Private not-for-profit,4-year
"255 Grapevine Rd, Wenham, MA 01984",Gordon College,Private not-for-profit,4-year
"419 College Dr, Barnesville, GA 30204",Gordon College,Public,4-year
"1 John C Bruton Blvd, Shawnee, OK 74804",Gordon Cooper Technology Center,Public,2-year
"130 Essex St, South Hamilton, MA 01982",Gordon-Conwell Theological Seminary,Private not-for-profit,4-year
"1700 S Main St, Goshen, IN 46526",Goshen College,Private not-for-profit,4-year
"1021 Dulaney Valley Rd, Baltimore, MD 21204",Goucher College,Private not-for-profit,4-year
,Gould School of Law,,
"1 University Pky, University Park, IL 60466",Governors State University,Public,4-year
"14557 Manchester, Ballwin, MO 63011",Grabber School of Hair Design,Private for-profit,< 2-year
"1011 Aldon SW, Wyoming, MI 49509",Grace Bible College,Private not-for-profit,4-year
"200 Seminary Dr, Winona Lake, IN 46590",Grace College and Theological Seminary,Private not-for-profit,4-year
"1311 S 9th St, Omaha, NE 68108",Grace University,Private not-for-profit,4-year
"1401 W Truman Rd, Independence, MO 64050",Graceland University,Private not-for-profit,4-year
"1 University Place, Lamoni, IA 50140",Graceland University-Lamoni,Private not-for-profit,4-year
,Graduate School of Business,,
,Graduate School of Business,,
,Graduate School of Business,,
,Graduate School of Management,,
,Graduate School of Management,,
,Graduate School of Management,,
,Graduate School of Management,,
,Graduate School of Management,,
"2400 Ridge Rd, Berkeley, CA 94709",Graduate Theological Union,Private not-for-profit,4-year
"80 Jesse Hill Jr Drive\nSE, Atlanta, GA 30303",Grady Health System Professional Schools,Public,2-year
"210 W Walnut St, Canton, IL 61520",Graham Hospital School of Nursing,Private not-for-profit,2-year
"1621 N. Kent St\nSuite 1617 Ll Rosslyn Plaza, Arlington, VA 22209",Graham Webb International Academy of Hair,Private for-profit,< 2-year
"100 Founders Street, Grambling, LA 71245",Grambling State University,Public,4-year
"3300 W Camelback Rd, Phoenix, AZ 85017",Grand Canyon University,Private for-profit,4-year
"143 Bostwick Ave NE, Grand Rapids, MI 49503",Grand Rapids Community College,Public,2-year
"1200 Fair St, Chillicothe, MO 64601",Grand River Technical School,Public,< 2-year
"1 Campus Dr, Allendale, MI 49401",Grand Valley State University,Public,4-year
"1200 Grandview Ave, Des Moines, IA 50316",Grand View College,Private not-for-profit,4-year
"8 Old Suncook Road, Concord, NH 03301",Granite State College,Public,4-year
"7200 NW 86th St, Kansas City, MO 64153",Grantham University,Private for-profit,4-year
"7605 Old York Rd, Melrose Park, PA 19027",Gratz College,Private not-for-profit,4-year
"1620 Edward P Smith Dr, Aberdeen, WA 98520",Grays Harbor College,Public,2-year
"6101 Grayson Drive, Denison, TX 75020",Grayson County College,Public,2-year
,Graziadio School of Business and Management,,
"1500 College Pky, Elko, NV 89801",Great Basin College,Public,4-year
"277 Portsmouth Avenue, Stratham, NH 03885",Great Bay Community College,Public,2-year
"2950 Lapeer, Port Huron, MI 48060",Great Lakes Academy of Hair Design,Private for-profit,< 2-year
"6211 W Willow Hwy, Lansing, MI 48917",Great Lakes Christian College,Private not-for-profit,4-year
"5100 Peach Street, Erie, PA 16509",Great Lakes Institute of Technology,Private for-profit,2-year
"3254 E Kemper Rd, Cincinnati, OH 45246",Great Oaks Institute of Technology and Career Development,Public,2-year
"4500 W Lee Blvd, Lawton, OK 73505",Great Plains Technology Center,Public,2-year
"1100 North Loop 56, Okmulgee, OK 74447",Green Country Technology Center,Public,< 2-year
"One College Cir, Poultney, VT 05764",Green Mountain College,Private not-for-profit,4-year
"12401 SE 320th St, Auburn, WA 98092",Green River Community College,Public,2-year
"60 Zimmerman Drive, Waynesburg, PA 15370",Greene County Career and Technology Center,Public,< 2-year
"2960 W Enon Rd., Xenia, OH 45385",Greene County Career Center,Public,< 2-year
"One College Dr, Greenfield, MA 01301",Greenfield Community College,Public,2-year
"815 W Market St, Greensboro, NC 27401",Greensboro College,Private not-for-profit,4-year
"315 E. College Ave, Greenville, IL 62246",Greenville College,Private not-for-profit,4-year
"506 S Pleasantburg Dr, Greenville, SC 29607",Greenville Technical College,Public,2-year
"8501 Greenwood N, Seattle, WA 98103",Greenwood Academy of Hair,Private for-profit,< 2-year
"1415 Whitney Ave, Gretna, LA 70053",Gretna Career College,Private for-profit,2-year
"501 Varsity Rd, Griffin, GA 30223",Griffin Technical College,Public,2-year
,Griggs,,
"1210 Park Street, Grinnell, IA 50112",Grinnell College,Private not-for-profit,4-year
"8800 Grossmont College Dr, El Cajon, CA 92020",Grossmont College,Public,2-year
"100 Campus Dr, Grove City, PA 16127",Grove City College,Private not-for-profit,4-year
"Sesame Street, Mangilao, GU 96913",Guam Community College,Public,2-year
"5800 W Friendly Ave, Greensboro, NC 27410",Guilford College,Private not-for-profit,4-year
"601 High Point Rd, Jamestown, NC 27282",Guilford Technical Community College,Public,2-year
"3910 US Hwy 301 N Suite 200, Tampa, FL 33619",Gulf Coast College,Private for-profit,2-year
"5230 W Hwy 98, Panama City, FL 32401",Gulf Coast Community College,Public,4-year
"5141 Snapfinger Woods Dr, Decatur, GA 30035",Gupton Jones College of Funeral Service,Private not-for-profit,2-year
"800 West College Avenue, Saint Peter, MN 56082",Gustavus Adolphus College,Private not-for-profit,4-year
"1883 University St, Eugene, OR 97403",Gutenberg College,Private not-for-profit,4-year
"1141Shreveport Barksdale Highway, Shreveport, LA 71105",Guy's Shreveport Academy of Cosmetology Inc,Private for-profit,< 2-year
"4230 Hwy 29 Ste 11, Lilburn, GA 30047",Gwinnett College,Private for-profit,2-year
"5150 Sugarloaf Parkway, Lawrenceville, GA 30043",Gwinnett Technical College,Public,2-year
"1325 Sumneytown Pike, Gwynedd Valley, PA 19437",Gwynedd Mercy College,Private not-for-profit,4-year
"1225 Air Base Blvd, Montgomery, AL 36108",H Councill Trenholm State Technical College,Public,2-year
"15959 E Gale Ave, City of Industry, CA 91745",Hacienda La Puente Unified School District-Adult Education,Public,< 2-year
,Hagan School of Business,,
"18618 Crestwood Dr, Hagerstown, MD 21742",Hagerstown Business College,Private for-profit,4-year
"11400 Robinwood Dr, Hagerstown, MD 21742",Hagerstown Community College,Public,2-year
,Haile\/US Bank College of Business,,
"110 N Franklin, Kirksville, MO 63501",Hair Academy 110,Private for-profit,< 2-year
"8435 Old Annapolis Rd, New Carrollton, MD 20784",Hair Academy Inc-New Carrollton,Private for-profit,< 2-year
"1550 West Thatcher Blvd, Safford, AZ 85546",Hair Academy of Safford,Private for-profit,< 2-year
"933 N Walnut, Bloomington, IN 47404",Hair Arts Academy,Private for-profit,< 2-year
"1110 N Tustin St, Orange, CA 92867",Hair California Beauty Academy,Private for-profit,< 2-year
"6711 5th Ave, Brooklyn, NY 11220",Hair Design Institute at Fifth Avenue,Private for-profit,< 2-year
"6464 S College, Fort Collins, CO 80525",Hair Dynamics Education Center,Private for-profit,2-year
"12450 Parklawn Dr 2nd fl, Rockville, MD 20852",Hair Expressions Academy,Private for-profit,< 2-year
"1111 S 10th St, Noblesville, IN 46060",Hair Fashions By Kaye Beauty College,Private for-profit,< 2-year
"6346 E 82nd St, Indianapolis, IN 46250",Hair Fashions By Kaye Beauty College,Private for-profit,< 2-year
"73 Hamilton St, Worcester, MA 01604",Hair in Motion Beauty Academy,Private for-profit,< 2-year
"208 W Highland Ave, San Bernardino, CA 92405",Hair Masters University,Private for-profit,< 2-year
"1145 E Butterfield Rd, Wheaton, IL 60187",Hair Professionals Academy of Cosmetology,Private for-profit,< 2-year
"825 B6 Village Quarter Road, West Dundee, IL 60118",Hair Professionals Academy of Cosmetology,Private for-profit,2-year
"10321 S Roberts Rd, Palos Hills, IL 60465",Hair Professionals Career College,Private for-profit,< 2-year
"2245 Gateway Drive, Sycamore, IL 60178",Hair Professionals Career College Inc,Private for-profit,< 2-year
"5460 Rte 34, Oswego, IL 60543",Hair Professionals School of Cosmetology,Private for-profit,< 2-year
"175 W 900 S #9, Saint George, UT 84770",Hairitage Hair Academy,Private for-profit,2-year
"506 S McClun St, Bloomington, IL 61701",Hairmasters Institute of Cosmetology,Private for-profit,< 2-year
"209B S Kings Dr, Charlotte, NC 28204",Hairstyling Institute of Charlotte Inc,Private for-profit,< 2-year
"100 College Drive, Weldon, NC 27890",Halifax Community College,Public,2-year
"10401 Ih 10 W, San Antonio, TX 78230",Hallmark College of Technology\/Hallmark College of Aeronautics,Private for-profit,4-year
"241 Millers Falls Rd, Turners Falls, MA 01376",Hallmark Institute of Photography,Private for-profit,< 2-year
"198 College Hill Rd, Clinton, NY 13323",Hamilton College,Private not-for-profit,4-year
"1751 Madison Avenue\nSuite 750, Council Bluffs, IA 51503",Hamilton College-Council Bluffs,Private for-profit,4-year
"1821 K St, Lincoln, NE 68501",Hamilton College-Lincoln Campus,Private for-profit,4-year
"3165 Edgewood Parkway SW, Cedar Rapids, IA 52404",Hamilton College-Main Campus,Private for-profit,4-year
"Plaza West 2570 4th Street SW, Mason City, IA 50401",Hamilton College-Mason City Branch,Private for-profit,4-year
"3350 N 90th, Omaha, NE 68134",Hamilton College-Omaha Campus,Private for-profit,4-year
